U value 1,U value 2,U value 3,U value 4,U value 5,U value 6,U value 7,U value 8,U value 9,U value 10
26.54086748,-684.2770358,-4426.003019,-16406.59136,-50782.72954,-146036.2839,-406771.8123,-1117333.984,-3050651.745,-8307763.807
25.38257515,-697.6252027,-4496.886303,-16658.27091,-51550.26388,-148230.4565,-412868.3896,-1134062.796,-3096306.369,-8432071.339
25.31074697,-697.9641083,-4498.294856,-16662.93072,-51564.1052,-148269.5994,-412976.6529,-1134359.292,-3097114.878,-8434271.986
25.31074697,-697.9641083,-4498.294856,-16662.93072,-51564.1052,-148269.5994,-412976.6529,-1134359.292,-3097114.878,-8434271.986
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.128171817,0.06109439,-0.808553692,-3.859815003,-12.84131591,-37.94287935,-106.8633158,-294.8957987,-806.7083928,-2198.646579
0.384515451,0.18328317,-2.425661077,-11.57944501,-38.52394773,-113.828638,-320.5899475,-884.6873961,-2420.125178,-6595.939738
1.325374537,1.088755121,-5.568429539,-29.67852003,-101.2305273,-301.7430348,-852.8065267,-2356.76639,-6450.967142,-17586.17264
1.755694069,-0.686470613,-20.38390438,-86.98602257,-281.0882921,-821.771906,-2304.561291,-6348.259672,-17353.23044,-47280.90146
1.825573555,-11.77354318,-88.77574169,-338.1253853,-1055.963957,-3047.287469,-8500.301952,-23363.1681,-63804.66303,-173776.0798
6.837810276,-20.20012332,-186.4840656,-731.2779031,-2304.96831,-6675.489567,-18648.5853,-51287.62108,-140102.5061,-381619.1815
10.06937643,-54.15358456,-423.7546799,-1623.459609,-5079.620704,-14669.46559,-40932.39168,-112517.4514,-307300.8434,-836972.0235
16.52776275,-134.8588245,-976.4561754,-3694.240903,-11512.03168,-33193.07624,-92558.35162,-254359.9869,-694612.5178,-1891773.058
21.15592354,-321.2422456,-2158.026975,-8056.975536,-24998.03022,-71954.64135,-200501.9941,-550835.9772,-1504048.527,-4096054.931
24.53288471,-524.6741347,-3432.235025,-12750.46639,-39494.7068,-113607.751,-316482.5536,-869368.1045,-2373681.512,-6464243.974
22.02308871,-632.1995799,-4066.125713,-15056.06926,-46585.39766,-133946.5626,-373074.3944,-1024746.799,-2797831.618,-7619231.428
15.95185758,-686.1253804,-4339.656204,-16016.06967,-49500.93926,-142267.3388,-396177.644,-1088122.5,-2970768.714,-8090076.796
